endTime, 12
pictures, 1
project, 32
_id, 32
gageId, 32
lat, 32
updatedBy, 31
createdBy, 32
stationId, 32
status, 32
type, 31
station, 32
start, 30
gage, 32
comments, 22
lon, 32
projectId, 32
title, 30
end, 30
createdAt, 32
updatedAt, 31
waterDepth, 23
assigned, 28
startTime, 12
